rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
607,color,n,160011,161.14,0.27,0.22,58793,0.91,15176,16007,7927,7899,18271,59647,12729,22355,122.14,124.46,61.89,62.62,154.42,473.05,104.56,186.62
608,cover,v,159606,160.73,0.05,0.00,89143,0.98,18851,20972,13874,18699,22963,28559,22449,13239,151.71,163.06,108.33,148.25,194.07,226.49,184.40,110.52
610,guess,v,159454,160.57,0.09,0.01,74761,0.96,21706,15355,57719,28378,23413,5878,5453,1552,174.69,119.39,450.67,224.98,197.88,46.62,44.79,12.96
623,check,v,155591,156.68,0.17,0.01,81879,0.98,22755,21568,40057,14403,21336,18196,11806,5470,183.13,167.70,312.76,114.19,180.32,144.31,96.98,45.66
625,fight,v,154643,155.73,0.04,0.01,75561,0.99,21562,19694,26940,25113,17004,17662,19127,7542,173.53,153.13,210.35,199.10,143.71,140.07,157.11,62.96
633,video,n,153563,154.64,0.17,0.11,57274,0.93,30910,24890,9213,33641,5211,21303,18553,9842,248.77,193.53,71.93,266.71,44.04,168.95,152.40,82.16
635,throw,v,152388,153.46,0.05,0.01,81552,0.98,20675,18121,26425,16257,30550,15498,20530,4332,166.39,140.90,206.33,128.89,258.19,122.91,168.64,36.16
636,third,m,152339,153.41,0.14,0.01,87846,0.97,18322,20988,9407,13908,13447,20320,29894,26053,147.46,163.19,73.45,110.26,113.65,161.15,245.55,217.49
642,ready,j,151349,149.22,0.09,0.01,82296,0.99,14381,13998,42991,18722,21994,16165,14595,5331,115.74,108.84,335.67,148.43,185.88,128.20,119.88,44.50
655,whose,d,147491,148.53,0.03,0.00,90117,0.96,13708,19710,7479,9500,17038,26324,30525,23207,110.32,153.25,58.40,75.32,144.00,208.77,250.74,193.73
